Vehicle2;570;100;6108;10;100;6670;B469;PL
Vehicle1;790;100;6270;0;100;7062;B689;PL
Vehicle0;0;100;6352;810;100;7164;B709;PU
Vehicle2;10;100;6670;580;100;7242;B479;PU
Vehicle2;580;100;7242;10;100;7814;B479;PL
Vehicle1;0;100;7062;890;100;7954;B789;PU
Vehicle0;810;100;7164;0;100;7976;B709;PL
Vehicle2;10;100;7814;780;100;8586;B679;PU
Vehicle1;890;100;7954;0;100;8846;B789;PL
Vehicle0;0;100;7976;940;100;8918;B839;PU
Vehicle2;780;100;8586;10;100;9358;B679;PL
Vehicle0;940;100;8918;0;100;9860;B839;PL
Vehicle1;0;100;8846;1050;100;9898;B949;PU
Vehicle2;10;100;9358;820;100;10170;B719;PU
Vehicle0;0;100;9860;370;100;10232;B268;PU
Vehicle0;370;100;10232;0;100;10604;B268;PL
Vehicle0;0;100;10604;300;100;10906;B198;PU
Vehicle1;1050;100;9898;0;100;10950;B949;PL
Vehicle2;820;100;10170;10;100;10982;B719;PL
Vehicle0;300;100;10906;0;100;11208;B198;PL
Vehicle1;0;100;10950;360;100;11312;B258;PU
Vehicle1;360;100;11312;0;100;11674;B258;PL
Vehicle2;10;100;10982;880;100;11854;B779;PU
Vehicle0;0;100;11208;680;100;11890;B578;PU
Vehicle1;0;100;11674;810;100;12486;B708;PU
Vehicle0;680;100;11890;0;100;12572;B578;PL
Vehicle2;880;100;11854;10;100;12726;B779;PL
Vehicle0;0;100;12572;300;100;12874;B197;PU
Vehicle0;300;100;12874;0;100;13176;B197;PL
Vehicle1;810;100;12486;0;100;13298;B708;PL
Vehicle0;0;100;13176;300;100;13478;B196;PU
Vehicle2;10;100;12726;960;100;13678;B859;PU
Vehicle0;300;100;13478;0;100;13780;B196;PL
Vehicle1;0;100;13298;1040;100;14340;B939;PU
Vehicle2;960;100;13678;10;100;14630;B859;PL
Vehicle0;0;100;13780;1070;100;14852;B969;PU
Vehicle1;1040;100;14340;10;100;15372;B939;PL
Vehicle2;10;100;14630;1080;100;15702;B979;PU
Vehicle0;1070;100;14852;10;100;15914;B969;PL
Vehicle1;10;100;15372;1090;100;16454;B989;PU
Vehicle2;1080;100;15702;10;100;16774;B979;PL
Vehicle0;10;100;15914;1100;100;17006;B999;PU
Vehicle2;10;100;16774;250;100;17016;B148;PU
Vehicle2;250;100;17016;10;100;17258;B148;PL
Vehicle1;1090;100;16454;10;100;17536;B989;PL
Vehicle2;10;100;17258;310;100;17560;B208;PU
Vehicle2;310;100;17560;10;100;17862;B208;PL
Vehicle1;10;100;17536;500;100;18028;B398;PU
Vehicle0;1100;100;17006;10;100;18098;B999;PL
Vehicle2;10;100;17862;660;100;18514;B558;PU
Vehicle1;500;100;18028;10;100;18520;B398;PL
Vehicle0;10;100;18098;890;100;18980;B788;PU
Vehicle2;660;100;18514;10;100;19166;B558;PL
Vehicle1;10;100;18520;820;100;19332;B718;PU
Vehicle0;890;100;18980;10;100;19862;B788;PL
Vehicle1;820;100;19332;10;100;20144;B718;PL
Vehicle2;10;100;19166;1050;100;20208;B948;PU
Vehicle0;10;100;19862;360;100;20214;B257;PU
Vehicle0;360;100;20214;10;100;20566;B257;PL
Vehicle1;10;100;20144;880;100;21016;B778;PU
